,sales,device,QTR_IDX_SALES,QTR_IDX_PREV,replyCount_sum,retweetCount_sum,likeCount_sum,quoteCount_sum,sentiment_vader_sum,sentiment_tfidf_sum,sentiment_countvect_sum,sentiment_bert_sum,replyCount_mean,retweetCount_mean,likeCount_mean,quoteCount_mean,sentiment_vader_mean,sentiment_tfidf_mean,sentiment_countvect_mean,sentiment_bert_mean,iphone,ipad,sales_norm
43,10.25,ipad,2016_2,2016_1,240.0,74.0,540.0,0.0,95.0,0.0,0.0,0.0,0.3333333333333333,0.10277777777777776,0.75,0.0,0.13194444444444445,0.0,0.0,0.0,0,1,-0.7756718348351032
44,9.95,ipad,2016_3,2016_2,232.0,59.0,649.0,3.0,133.0,0.0,0.0,0.0,0.32222222222222224,0.08194444444444443,0.9013888888888888,0.0041666666666666675,0.18472222222222226,0.0,0.0,0.0,0,1,-0.8433394908627213
45,9.27,ipad,2016_4,2016_3,261.0,65.0,591.0,10.0,144.0,0.0,0.0,0.0,0.34342105263157896,0.08552631578947369,0.7776315789473685,0.013157894736842105,0.18947368421052632,0.0,0.0,0.0,0,1,-0.9967195111919888
46,13.08,ipad,2017_1,2016_4,251.0,111.0,949.0,31.0,123.0,0.0,0.0,0.0,0.3486111111111111,0.15416666666666667,1.3180555555555555,0.04305555555555556,0.17083333333333334,0.0,0.0,0.0,0,1,-0.13734027964123977
47,8.92,ipad,2017_2,2017_1,266.0,104.0,618.0,30.0,168.0,0.0,0.0,46.0,0.3699582753824757,0.14464534075104313,0.8595271210013908,0.04172461752433936,0.2336578581363004,0.0,0.0,0.06397774687065369,0,1,-1.0756651098908763
48,11.42,ipad,2017_3,2017_2,251.0,99.0,667.0,35.0,196.0,0.0,18.0,36.0,0.3486111111111111,0.1375,0.9263888888888888,0.04861111111111111,0.2722222222222222,0.0,0.025,0.05,0,1,-0.5117679763273928
49,10.33,ipad,2017_4,2017_3,326.0,154.0,2410.0,17.0,230.0,0.0,24.0,86.0,0.42894736842105263,0.2026315789473684,3.171052631578948,0.022368421052631583,0.3026315789473684,0.0,0.03157894736842105,0.11315789473684212,0,1,-0.7576271265610716
50,13.17,ipad,2018_1,2017_4,312.0,76.0,1319.0,11.0,208.0,0.0,0.0,5.0,0.43333333333333335,0.10555555555555557,1.8319444444444444,0.015277777777777776,0.2888888888888889,0.0,0.0,0.006944444444444444,0,1,-0.1170399828329544
51,9.11,ipad,2018_2,2018_1,400.0,35.0,774.0,16.0,221.0,0.0,0.0,63.0,0.5555555555555556,0.04861111111111111,1.075,0.022222222222222227,0.3069444444444445,0.0,0.0,0.0875,0,1,-1.0328089277400516
52,11.55,ipad,2018_3,2018_2,390.0,348.0,2066.0,29.0,207.0,0.0,0.0,7.0,0.5416666666666666,0.4833333333333333,2.8694444444444445,0.04027777777777778,0.2875,0.0,0.0,0.009722222222222222,0,1,-0.4824453253820915
